"","Brewery_id","Name.x","Beer_ID","ABV","IBU","Style","Ounces","Name.y","City","State","region"
"180",26,"Whip Fight",2082,0.09,30,"Scotch Ale / Wee Heavy",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"181",26,"Port Barrel Wee Mac ",2081,0.053,23,"Scotch Ale / Wee Heavy",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"182",26,"Fistful Of Hops Red",2001,0.064,75,"American IPA",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"183",26,"Fistful of Hops Orange",2000,0.063,75,"American IPA",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"184",26,"Fistful Of Hops Blue",1999,0.064,75,"American IPA",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"185",26,"Fistful of Hops Green",1996,0.064,75,"American IPA",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"186",26,"30 Min Coma",1948,NA,NA,"Belgian IPA",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"187",26,"Wee Muckle",1656,0.09,30,"Scotch Ale / Wee Heavy",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"188",26,"Royal Brat",1599,0.065,55,"Extra Special / Strong Bitter (ESB)",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"189",26,"Grapefruit Jungle (GFJ)",1420,0.075,77,"American IPA",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"190",26,"Osiris Pale Ale",1389,0.056,50,"American Pale Ale (APA)",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"191",26,"Bourbon Barrel Aged Timmie",1367,0.099,75,"Russian Imperial Stout",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"192",26,"Stupid Sexy Flanders",1366,0.063,23,"Flanders Oud Bruin",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"193",26,"Bourbon Barrel Cowbell",1347,NA,NA,"American Porter",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"194",26,"Popcorn Pilsner",1314,0.054,NA,"German Pilsener",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"195",26,"Ring of Dingle",1128,0.071,27,"Irish Dry Stout",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"196",26,"Bourbon Barrel Wee Mac",1127,0.054,23,"Scottish Ale",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"197",26,"Bourbon Barrel Johan",1049,0.099,60,"English Barleywine",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"198",26,"The Deuce",934,0.07,NA,"American Brown Ale",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"199",26,"The Velvet Fog",923,0.09,24,"Quadrupel (Quad)",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"200",26,"Sun King Oktoberfest",874,0.055,23,"Märzen / Oktoberfest",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"201",26,"Indianapolis Indians Lager",739,0.052,24,"Dortmunder / Export Lager",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"202",26,"Indians Victory Lager (2012)",698,0.052,24,"Dortmunder / Export Lager",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"203",26,"Chaka",660,0.08,NA,"Belgian Strong Pale Ale",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"204",26,"Isis",651,0.091,91,"American Double / Imperial IPA",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"205",26,"Wee Muckle (2011)",584,0.09,30,"Scotch Ale / Wee Heavy",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"206",26,"Grapefruit Jungle (GFJ) (2011)",532,0.075,77,"American IPA",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"207",26,"Sun King Oktoberfest (2011)",526,0.055,23,"Märzen / Oktoberfest",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"208",26,"Johan the Barleywine",394,0.099,60,"English Barleywine",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"209",26,"Wee Mac Scottish-Style Ale",213,0.054,23,"Scottish Ale",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"210",26,"Sunlight Cream Ale",55,0.053,20,"Cream Ale",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"211",26,"Osiris Pale Ale (2010)",54,0.056,50,"American Pale Ale (APA)",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"212",27,"Blonde Czich",2604,0.049,23,"American Blonde Ale",16,"Evil Czech Brewery","Mishawaka","IN","Midwest"
"213",27,"White Reaper",2432,0.07,61,"Belgian IPA",16,"Evil Czech Brewery","Mishawaka","IN","Midwest"
"214",27,"Bobblehead",2431,0.051,NA,"American Pale Wheat Ale",16,"Evil Czech Brewery","Mishawaka","IN","Midwest"
"215",27,"Lucky Dog",2430,0.052,NA,"American Pale Ale (APA)",16,"Evil Czech Brewery","Mishawaka","IN","Midwest"
"216",27,"Voodoo",2429,0.048,NA,"American Porter",16,"Evil Czech Brewery","Mishawaka","IN","Midwest"
